휴양지	休养胜地
이사벨 조각	伊莎贝碎片
이순신 조각	李舜臣碎片
인도네시아어	印度尼西亚语
일일 보관량	每日储存量
자원 약탈량	夺取资源量
자원지 건설	建设资源地
장갑 마스터	护手大师
장갑 재봉사	护手裁剪师
장갑함 선실	装甲舰船舱
장갑함 외판	装甲舰外板
장갑함 용골	装甲舰龙骨
장갑함 특화	装甲舰特化
장갑함 화력	装甲舰火力
장비 제작중	制作装备中
장식용 깃발	装饰用旗帜
장식용 깃털	装饰用羽毛
장신구를 제작해보세요.	制作饰品
장신구 착용하기	装备饰品
장인의 지휘	匠人的指挥
재련된 철괴	冶炼铁锭
재장전 숙달	精通装弹
전리품 목록	战利品目录
전리품 획득하기	获得战利品
전사한 병사	死亡士兵
전설 제국군	传说帝国军
전설의 진주	传说中的珍珠
전설의 킬러	传说帝国军杀手
전장의 교황	战场教皇
전장의 국왕	战场之王
전장의 군왕	战场的君王
전장의 통령	战场的统帅
전장의 황제	战场皇帝
전쟁의 화신	战争的火神
전투 기여도	战斗贡献度
전투력 상승	战斗力提升
점령전 장갑	占领战装甲
점령전 화력	占领战火力
정예 조선술	精锐造船术
정예 항해술	精锐航海术
제국 1인자	帝国第一
제국 2인자	帝国第二
제국 3인자	帝国第三
제국 수비군	帝国守卫军
제국#{0}	帝国#{0}
제국군 정보	帝国军信息
제국군 킬러	帝国军杀手
제독의 반지	提督戒子
제독의 부츠	提督战靴
제독의 상징	提督的象征
제독의 에페	提督重剑
제독의 여정	提督的旅程
제독의 장갑	提督护手
제사용 곤봉	祭祀用棍棒
조합 성공!	合成成功!
조합의 장갑	合成手套
종이 탄약포	纸质弹药包
주둔병사정보	驻兵信息
주둔함대정보	驻扎船队信息
주사위 게임	骰子游戏
중급 곡괭이	中级镐头
중급 광산차	中级矿车
중급 구급법	中级急救法
중급 규격화	中级规格化
중급 기름칠	中级刷漆
중급 내구도	中级耐久度
중급 방어진	中级防御阵
중급 선회력	中级回转力
중급 적재량	中级装载量
중급 조선술	中级造船术
중급 창자루	中级矛把
중급 총검술	中级枪剑术
중급 추출기	中级萃取机
중급 항해술	中级航海术
지능의 곤봉	智能棍棒
지능의 두건	智能头巾
지능의 로브	智能长袍
지능의 반지	智能戒指
지능의 장화	智能长靴
지상 공격력	地面攻击力
지원대기시간	援助待机时间
지휘용 깃발	指挥旗帜
집결 공격중	集结攻击中
집결 대기중	等待集结中
집결후 이동	集结后出发
집중 포격률	集中炮击率
창 절약기술	矛节约技术
창 제조수량	矛制造数量
창고 적재량	仓库装载量
창병 공격력	矛兵攻击力
창병 방어력	矛兵防御力
창병 훈련수	矛兵训练数
채집속도증가	提高采集速度
채집의 달인	采集达人
처치 연맹	击败联盟
철광 고블린	铁哥布林
철광석 25	25铁
철광석 50	50铁
총 절약기술	枪节约技术
총 제조수량	枪制造数量
총검술 교육	培训枪剑术
총병 공격력	枪兵攻击力
총병 방어력	枪兵防御力
총병 훈련수	枪兵训练数
최강의 방패	最强之盾
최강의 연맹	最佳联盟
최대 내구도	耐久度上限
최대 저장량	储存上限
최후의 보루	最后的堡垒
추천 교역로	推荐交易路线
충분한 휴식	充分的休息
침몰한 함선	下沉的舰船
카오 포인트	罪恶值
카카오 열매	可可果
카탈로니아어	加泰罗尼亚语
캐서린 조각	凯瑟琳碎片
케프리의 함	凯布利的匣子
쿠폰사용하기	使用兑换码
크로아티아어	克罗地亚语
클레오파트라	克莱奥帕特拉
탑승인원 수	乘船人员数
태양의 유산	太阳的遗产
통치자의 책	统治者之书
퇴각시켰다!	击退他们了!
퇴각한 함선	撤退的舰船
특급 구급법	特级急救法
특급 기름칠	特级刷漆
특급 방어진	特级防御阵
특급 속공I	特级速攻 I
특급 조선술	特级造船术
특급 창자루	特级矛把
특급 총검술	特级枪剑术
특급 항해술	特级航海术
특성 초기화	特性初始化
튼튼한 모루	坚实的砧子
튼튼한 상자	结实的箱子
티어1_니모	1阶_尼莫
티어1_디나	1阶_迪娜
티어1_디몬	1阶_迪蒙
티어1_로식	1阶_罗式
티어1_메넌	1阶_米南
티어1_미쉘	1阶_米谢儿
티어1_밍카	1阶_盟卡
티어1_샤넬	1阶_沙诺尔
티어1_셀린	1阶_谢霖
티어1_시엔	1阶_谢安
티어1_아킨	1阶_阿金
티어1_오라	1阶_奥拉
티어1_케이	1阶_凯伊
티어1_키네	1阶_齐聂
티어1_테르	1阶_泰罗
티어1_토냐	1阶_吐尼亚
티어1_페니	1阶_菲妮
티어1_피렌	1阶_皮脸
티어1_헬렌	1阶_赫楞
티어2_가오	2阶_佳奥
티어2_고든	2阶_高登
티어2_고슨	2阶_高森
티어2_니오	3阶_尼奥
티어2_데퍼	2阶_德芙
티어2_라딘	2阶_拉丁
티어2_라스	2阶_莱斯
티어2_류네	2阶_柳娜
티어2_리아	2阶_利亚
티어2_미미	2阶_美美
티어2_바니	2阶_巴尼
티어2_비엘	2阶_维耶勒
티어2_슈렌	2阶_秀莲
티어2_스카	2阶_斯卡
티어2_스톤	2阶_斯顿
티어2_시바	2阶_西巴
티어2_알린	2阶_阿林
티어2_우딘	2阶_于丁
티어2_젠나	2阶_基恩娜
티어2_주니	2阶_朱妮
티어2_쿨란	2阶_酷兰
티어2_크라	2阶_克拉
티어2_크랙	2阶_克莱
티어2_포나	2阶_蒲娜
티어3_골렘	3阶_魔像
티어3_글람	3阶_戈蓝
티어3_나디	3阶_楠迪
티어3_니로	3阶_尼罗
티어3_다크	3阶_暗黑
티어3_디르	3阶_迪罗
티어3_로든	3阶_罗登
티어3_류엔	3阶_柳岩
티어3_리몬	3阶_李萌
티어3_수릴	3阶_苏烈尔
티어3_쉐인	3阶_谢恩
티어3_스노	3阶_斯诺
티어3_오딘	3阶_奥丁
티어3_지안	3阶_志安
티어3_캐린	3阶_凯琳
티어3_터미	3阶_托咪
티어4_드쉘	4阶_德雪儿
티어4_로라	4阶_罗拉
티어4_리사	4阶_李萨
티어4_린펠	4阶_林皮儿
티어4_무사	4阶_武士
티어4_발락	4阶_波拉
티어4_베른	4阶_维恩
티어4_비아	4阶_比亚
티어4_사이	4阶_撒伊
티어4_에넌	4阶_怡浓
티어4_오린	4阶_奥林
티어4_이안	4阶_里安
티어4_체리	4阶_蔡丽
티어4_타펠	4阶_塔费尔
티어4_탈크	4阶_托克
티어4_토미	4阶_托米
티어4_파니	4阶_帕尼
티어5_겔리	5阶_格力
티어5_골든	5阶_戈尔登
티어5_기가	5阶_技嘉
티어5_니케	5阶_耐克
티어5_닐라	5阶_妮拉
티어5_디네	5阶_戴妮
티어5_로멘	5阶_罗曼
티어5_리나	5阶_拉娜
티어5_리버	5阶_李波
티어5_메릴	5阶_美丽
티어5_분낙	5阶_芬诺
티어5_세린	5阶_谢琳
티어5_슈안	5阶_修庵
티어5_시스	5阶_西施
티어5_싱카	5阶_星卡
티어5_야미	5阶_亚美
티어5_에바	5阶_伊娃
틸로사우루스	海王龙
파울로 조각	保罗碎片
판매 등록권	寄售券
패자의 전장	霸主战场
패자의 증표	霸主的信物
포격 피해량	炮击伤害量
포격함 선실	炮击舰船舱
포격함 외판	炮击舰外板
포격함 용골	炮击舰龙骨
포격함 특화	炮击舰特化
포격함 화력	炮击舰火力
포로 수용량	俘虏收容量
포로 억류량	俘虏扣留量
포박용 그물	捆绑用的网
포신 거푸집	炮身模具
포열 청소봉	炮筒清洁棒
포인트 사용	使用点数
푹신푹신하다	松软
폭풍 히드라	暴风海德拉
폭풍의 권능	暴风的权能
풀무용 신발	鼓风用鞋
풍요의 씨앗	富饶的种子
하워드 조각	霍华德碎片
할버드 창날	戟矛之刃
함께가는 길	共同之路
해병 대기실	海兵休息室
해일 히드라	海啸海德拉
해적의 망토	海盗披风
해적의 반지	海盗戒指
해적의 에페	海盗重剑
향상된 오븐	升级的烤炉
헤비 갤리온	重型盖伦船
헤비스피어맨	重矛兵
현재 관리중	管理中
화약 적재량	火药装载量
화약고 증설	增设火药库
화합의 연맹	和谐的联盟
황금 주사위	黄金骰子
회복의 모자	恢复头盔
회복의 반지	恢复戒指
회복의 신발	恢复战靴
회복의 의복	恢复盔甲
회복의 장갑	恢复护手
후처리 적용	适用光影效果
흥정의 달인	讨价还价的达人
희귀 망원경	稀有望远镜
희귀 갈고리	稀有的钩子
희귀 경고종	稀有的警钟
희귀 나무못	稀有的木钉
희귀 방아쇠	稀有的扳机
희귀 완충재	稀有的缓冲材料
희귀 윤활유	稀有的润滑油
희귀 은화틀	稀有的银质模具
희귀 전략서	稀有的战略书
희귀 통나무	稀有的原木
희귀 화약통	稀有的火药桶
힘의 목걸이	力量项链
힘의 허리띠	力量腰带
감사합니다.	谢谢。
사수하라!!	被遗忘的大领主住宅地图！
领主对战 장갑	领主对战装甲
领主对战 화력	领主对战火力
사냥 내구도	狩猎耐久度
수송함 장갑	运输舰装甲
자원 보호량	资源保护量
자원 생산량	资源生产量
장갑함 장갑	装甲舰装甲
초급 내구도	初级耐久度
초급 적재량	初级装载量
포격함 장갑	炮击舰装甲
태고 바다거인	远古海洋巨人
무지개 달걀	彩虹蛋
사냥 이벤트	狩猎活动
(연맹){0}	（联盟）{0}
{0} / 턴	{0}/回合
{0} 이민자	{0}移民者
{0} p	{0}点
{0} / {1}	{0}/{1}
{0} X {1}	{0}x{1}
+은화 55K	增加55千银币
<선수상옵션>	<船首像属性>
1000위 밖	排行1000名以外
1주년 오리배	一周年鸭子船
3일이상 경과	经过3天以上
Lv.8 패키지	8级礼包
Deutsch	Deutsch
English	English
Español	Español
Lv.1~3	1~3级
Lv.1~33	1~33级
Lv.4~6	4~6级
Lv.7~9	7~9级
Pусский	Pусский
So~ So~	还可以~
VIP{0}	贵宾{0}
VIP포인트	贵宾点数
ภาษาไทย	ภาษาไทย
가속 24시간	加速(24小时)
가속 패키지2	加速礼包2
가속의 목걸이	加速项链
가져올 자원량	要获取的资源量
감시탑 신호기	瞭望塔信号机
강습저지 실패	阻止突袭失败
강인한 허리띠	强韧腰带
거대 괴물아귀	巨型饿鬼怪
거대 섬 거북	巨型岛乌龟
거북선의 위상	龟船的威望
건물 건설하기	建设建筑
건설속도 증가	提高建设速度
건설 자원 감소	减少建设所需资源
검병 공격속도	剑兵攻击速度
검투사의 석궁	角斗士弩弓
계정 불러오기	导入账号
고귀한 수집가	高贵的收藏家
고급 강화 속도	高级强化速度
고급 강화 자원	高级强化资源
고급 건설도구	高级建设工具
고급 건설 속도	高级建设速度
고급 건조 속도	高级建造速度
고급 건조 자원	高级建造资源
고급 경고 종	高级警钟
고급 낚싯바늘	高级鱼钩
고급 대인화력	高级对人火力
고급 대함화력	高级对舰火力
고급 손질기름	高级修理油
고급 수리 자원	高级修理资源
고급 신비상자	神秘箱(高级)
고급 엄폐사격	高级掩蔽射击
고급 은화 틀	高级银质模具
고급 의료도구	高级医疗工具
고급 장비제작	高级制作装备
고급 제식 검	高级制式剑
고급 제식 창	高级制式矛
고급 제식 총	高级制式枪
고급 축성기술	高级筑城技术
고급 포격속도	高级炮击速度
고급 플라스크	高级烧瓶
고급 허수아비	高级稻草人
고급 협동수리	高级协同修理
고대 괴물아귀	古代饿鬼怪
고대 바다거인	古代海洋巨人
고대인의 비밀	古人的秘密
광기의 마스크	狂气面具
광물 패키지2	矿物礼包2
군수공장 이동	前往军工厂
군수품 제조중	制造军需品中
귀부인의 서재	贵夫人的书房
그래픽 최적화	画质优化
그래픽 퀄리티	图像质量
글로리아 조각	格洛里娅碎片
금화 거래 증서	金币交易证书
금화 사용하기	使用金币
나눔의 즐거움	共享的喜悦
나를 따르라!	跟我来!
난폭한 바다용	暴力海龙
날카로운 공격	尖锐的攻击
날카로운 망토	锋利披风
날카로운 무기	锋利的武器
날카로운 슬링	锋利抱袋
날카로운 조끼	锋利坎肩
낡은 보물상자	破旧的宝物箱
넉넉한 세뱃돈	充足的红包
눈부신 장신구	耀眼的饰品
다음 RVIP	下一皇家贵宾等级
단단한 방어구	结实的防具
단단한 등껍질	坚硬的壳背
대양의 습격자	大洋的袭击者
대장간의 달인	铁匠铺的达人
대장장이 망치	铁匠锤
대장장이 집게	铁匠钳
대포 대인화력	大炮对人火力
대포 대함화력	大炮对舰火力
대포 절약기술	大炮节约技术
대포공장 이동	前往大炮工厂
대포제조 수량	制造大炮数量
도시 두루마리	城市卷轴
도시를 점령해보세요	占领城市
도시의 지배자	城市统治者
두둑한 세뱃돈	厚重的红包
두툼한 방어구	厚重的防具
드라큘라 조각	德古拉碎片
드레이크 조각	德雷克碎片
든든한 방어구	坚固的防具
디럭스 패키지	豪华礼包
뛰어난 전술가	卓越的战术家
랭킹 {0}위	排名 第{0}名
랭킹 순위 밖	排名外
로얄 스피어맨	皇家矛兵
리우데자네이루	里约热内卢
마도의 메이스	魔道战棍
마도의 목걸이	魔道项链
마법사의 반지	魔法师戒指
마법사의 방패	魔法师盾牌
마법사의 예복	魔法师礼服
마법사의 왕관	魔法师的王冠
마법사의 철퇴	魔法师的铁锤
마일리지 상품	积分商品
매의 전투망치	鹰战锤
맹주 연락하기	联系盟主
머스킷 콜렉터	滑膛枪收藏家
모험 선택하기	选择冒险
목재 채집속도	木材采集速度
목재 패키지2	木材礼包2
몬스터 사냥철	狩猎季节
몸도 가벼워!	身体也轻了!
몸이 가벼워!	身子好轻!
물물교환 가능	可进行物物交换
물자창고 확장	扩建物资仓库
미 확인 장소	尚未查看的场所
미출석 연맹원	未签到联盟成员
민첩한 마스크	敏捷面具
민첩한 목걸이	敏捷项链
바다의 무법자	海上不法之徒
바다의 사냥꾼	海洋猎手
바다의 지배자	海上霸主
바이킹의 저력	海盗船的潜力
바이킹의 후예	海盗船的后裔
방어가 될까?	能防御吗?
방어의 목걸이	防御项链
방어의 허리띠	防御腰带
배를 버려라!	弃船!
배틀 글레이브	战地宽刃刀
베니스의 상인	威尼斯商人
병사 치료 수	治疗士兵数量
병사 훈련 수	训练士兵数量
병사 훈련속도	士兵训练速度
보관할 자원량	要保管的资源量
보물을 획득하세요.	获得宝物
보수물자 저장	储存维修物资
보수용 널빤지	维修用木板
부상병 수용량	伤兵收容量
부상병 전환율	伤兵转换率
비밀단체 깃발	秘密团体旗帜
빛나는 장신구	闪耀的饰品
사냥용 머스킷	狩猎用滑膛枪
사령관 할버드	司令官的戟
사이버 먼데이	剁手星期一
선적장비 개량	改良装船装备
선지자의 곤봉	先知者棍棒
선지자의 로브	先知者长袍
선지자의 반지	先知者戒指
성령의 여신상	圣灵的女神像
성문 대포 수	城门大炮数
성전의 목걸이	圣战项链
세이렌의 깃털	塞壬羽毛
소박한 세뱃돈	朴素的红包
수리 필요 :	需要修理：
수비중인 함대	防守中的船队
수송선 애호가	运输舰爱好家
스타터 패키지	新手礼包
스토리1 목표	剧情1目标
스토리1 설명	剧情1说明
스토리1 제목	剧情1标题
스토리2 목표	剧情2目标
스토리2 설명	剧情2说明
스토리2 제목	剧情2标题
스토리3 목표	剧情3目标
스토리3 설명	剧情3说明
스토리3 제목	剧情3标题
스토리4 목표	剧情4目标
스토리4 설명	剧情4说明
스토리4 제목	剧情4标题
스토리섬 10	故事岛10
스토리섬 11	故事岛11
스토리섬 12	故事岛12
스토리섬 13	故事岛13
스토리섬 14	故事岛14
스토리섬 15	故事岛15
스토리섬 16	故事岛16
스토리섬 17	故事岛17
스토리섬 18	故事岛18
스토리섬 19	故事岛19
스토리섬 20	故事岛20
스토리섬 21	故事岛21
스토리섬 22	故事岛22
스토리섬 23	故事岛23
스토리섬 24	故事岛24
스토리섬 25	故事岛25
시간당 생산량	每小时生产量
시세정보 확인	确认行情
식량 채집속도	粮食采集速度
식량 패키지2	粮食礼包2
신비한 돌맹이	神秘的石头
신성의 여신상	神圣的女神像
심해 괴물 게	深海蟹怪
아랍에미레이트	阿联酋
아레스의 축복	阿瑞斯的祝福
약탈 가능자원	可夺取资源
얼굴은 가린다	遮住面部
엄폐사격 연습	练习掩蔽射击
연구속도 증가	提高研究速度
연맹 : 교본	联盟:教材
연맹 : 숫돌	联盟:磨刀石
연맹 자원창고	联盟仓库
연맹 킬 랭킹	联盟灭敌排名
연맹과 {0}	联盟与{0}
연맹약칭 입력	输入联盟简称
연맹이름 입력	输入联盟名称
영웅의 목걸이	英雄项链
영주 킬 랭킹	领主灭敌排名
영주의 귀걸이	领主耳环
영주의 뿔렌느	领主尖头鞋
영주의 중절모	领主礼帽
영지 강습하기	突袭领地
영지이동 초대	邀请迁城
영혼의 장식품	灵魂的装饰品
왕립학회 연구	皇家学院研究
왕립학회로 이동	前往皇家学院
용기의 목걸이	勇气项链
용기의 쿠쿠리	勇气刀鞘
용기의 허리띠	勇气腰带
위대한 전술가	伟大的战术家
위탁판매 등록	设置寄售
은화 4 채집	采集4银币
은화 5 증가	增加5银币
은화 채집속도	银币采集速度
은화 패키지2	银币礼包2
이벤트 게시판	活动公告栏
이벤트 상점!	活动商店!
자원 가져오기	获取资源
자원 약탈하기	夺取资源
자원섬 수색꾼	资源岛采集员
자원지섬 점령	占领资源岛
잔다르크 조각	贞德碎片
장비 약탈하기	夺取装备
장식용 막대기	装饰用棍子
장신구 마스터	饰品大师
장인의 머스킷	匠人的滑膛枪
재배치 포인트	重新布置点数
적 병사 처치하기	击退敌兵
전리품 수집가	战利品收藏家
전사시킨 병사	击败的士兵
전체 랭킹보기	查看全体排名
점령전 내구도	占领战耐久度
점령전 진행중	占领战进行中
정복자의 반지	征服者的戒指
정찰 성공하기	成功侦查
제국과의 혈투	与帝国军血战
제국함선 격파	击破帝国舰船
제독의 더블릿	提督紧身上衣
제독의 베레모	提督贝蕾帽
제독의 지휘검	提督的指挥剑
제조 및 훈련	制造及训练
주소록 엑세스	访问通信录
주어지는 혜택	获得的福利
중급 강화속도	中级强化速度
중급 강화자원	中级强化资源
중급 건설도구	中级建设工具
중급 건조속도	中级建造速度
중급 건조자원	中级建造资源
중급 대인화력	中级对人火力
중급 대함화력	中级对舰火力
중급 수리자원	中级修理资源
중급 엄폐사격	中级掩蔽射击
중급 의료도구	中级医疗工具
중급 장비제작	中级制作装备
중급 제식 검	中级制式剑
중급 제식 창	中级制式矛
중급 제식 총	中级制式枪
중급 축성기술	中级筑城技术
중급 포격속도	中级炮击速度
중급 행정제도	中级行政制度
중급 허수아비	中级稻草人
중급 협동수리	中级协同修理
지능의 목걸이	智能项链
지원병력 없음	没有援助兵力
지혜의 인어상	智慧的人鱼像
지휘관의 깃발	指挥官的旗帜
진격 뿔피리	进攻号角
진실의 돋보기	真实的放大镜
질풍의 인어상	疾风的人鱼像
집결 함선 수	集结舰船数
집결지로 이동	前往集结地
창병 공격속도	矛兵攻击速度
철광석 100	100铁
철광석 500	500铁
철광석 보호량	铁保护量
철광석 생산량	铁生产量
철광석 패키지	铁礼包
철벽의 파이크	坚韧的长矛
초보 대장장이	新手铁匠
초보 디자이너	初级设计师
초월의 여신상	超越的女神像
총병 공격속도	枪兵攻击速度
최고 대장장이	熟练的铁匠
최고급 양장본	精装书籍
최고레벨 달성	已达到满级
추천경로 보기	查看推荐路线
충무공 이순신	忠武公李舜臣
측천무후 조각	武则天碎片
침몰은 없다!	绝不沉船!
캐러벨 라티나	卡拉维尔帆船
캐러벨 레돈다	雷东达帆船
퀘스트 완료!	任务已完成!
타 연맹 소유	归其它联盟所有
탑승 인원 증가	增加乘船人员数
통치 인구 수	统治人口数
투사의 허리띠	斗士腰带
특급 대련지도	特级对练指导
특급 속공II	特级速攻 II
특급 엄폐사격	特级掩蔽射击
특급 치료술I	特级治疗术 I
특급 허수아비	特级稻草人
튼튼한 군화굽	结实的鞋跟
튼튼한 창자루	坚实的矛把
티끌모아 태산	积土成山
티어 1 소환	召唤1阶
티어 2 소환	召唤2阶
티어 3 소환	召唤3阶
티어 4 소환	召唤4阶
티어 5 소환	召唤5阶
티어1_가르고	1阶_贾乐高
티어1_고라곤	1阶_美杜莎
티어1_리디아	1阶_莉迪亚
티어1_리안나	1阶_丽安娜
티어1_모라딘	1阶_莫拉丁
티어1_시니언	1阶_思念
티어1_아이린	1阶_爱林
티어1_어니스	1阶_安妮斯
티어1_에스더	1阶_艾斯特
티어1_우라크	1阶_乌拉克
티어1_이니안	1阶_伊妮安
티어1_이즈라	1阶_伊资拉
티어1_잔다르	1阶_盏多罗
티어1_카르텔	1阶_卡特尔
티어1_타자르	1阶_他扎鲁
티어1_티어린	1阶_梯俞林
티어1_필리아	1阶_菲利亚
티어2_나자크	2阶_你扎克
티어2_데미안	2阶_黛米安
티어2_라사라	2阶_拉萨拉
티어2_로마나	2阶_罗美娜
티어2_메리안	2阶_梅里安
티어2_모아나	2阶_莫阿纳
티어2_미란다	2阶_美兰达
티어2_백기사	2阶_圣斗士
티어2_세자르	2阶_采萨尔
티어2_솔미르	2阶_松米罗
티어2_이보르	2阶_伊波拉
티어2_쿠라나	2阶_酷拉娜
티어2_파나실	2阶_巴娜师
티어3_가이아	3阶_盖亚
티어3_로잔느	3阶_罗斯安妮
티어3_마르딘	3阶_马尔丁
티어3_마틸다	3阶_马蹄达
티어3_미구엘	3阶_迷秋尔
티어3_비너스	3阶_维纳斯
티어3_산드로	3阶_桑德罗
티어3_살리나	3阶_任家萱
티어3_셉티나	3阶_燮缇娜
티어3_아이언	3阶_艾恩
티어3_에스델	3阶_艾斯特
티어3_오리나	3阶_奥莉娜
티어3_웨일리	3阶_韦利
티어3_자이다	3阶_萨达
티어3_타블린	3阶_托柏林
티어3_티아나	3阶_提亚娜
티어3_팔라니	3阶_法拉尼
티어3_피오나	3阶_比奥娜
티어4_드라콘	4阶_德肯
티어4_루피나	4阶_拉菲亚
티어4_마리카	4阶_玛丽卡
티어4_보디쉬	4阶_柏迪旭
티어4_비안카	4阶_菲安卡
티어4_세이넌	4阶_谢能
티어4_시리아	4阶_西利亚
티어4_실비아	4阶_实比亚
티어4_아델라	4阶_阿德拉
티어4_이레아	4阶_伊蕾娜
티어4_이카엘	4阶_伊卡尔
티어4_줄리아	4阶_茱莉亚
티어4_크리론	4阶_克里仑
티어4_크리스	4阶_克里斯
티어4_트리샤	4阶_特丽莎
티어4_티리아	4阶_提莉亚
티어4_페미나	4阶_费米娜
티어4_페이라	4阶_佩拉
티어4_프리안	4阶_普列昂
티어5_레베카	5阶_雷别卡
티어5_레비나	5阶_莱温娜
티어5_로잔느	5阶_罗斯安妮
티어5_루시아	5阶_露西亚
티어5_리오네	5阶_利奥内
티어5_사이라	5阶_西拉
티어5_알라마	5阶_阿拉马
티어5_언시아	5阶_安西亚
티어5_오리스	5阶_奥丽斯奥丽斯
티어5_카시안	5阶_卡西安
티어5_코로니	5阶_格罗尼
파도속의 독백	波涛中的独白
패자의 눈동자	败者的眼珠
페이스북 동상	脸书铜像
페이스북 연동	脸书绑定
편안한 손잡이	舒适的把手
평범한 목걸이	平凡的项链
포로 전향 수	归顺俘虏数
포세이돈의 창	波塞冬的矛
풍요의 인어상	富饶的人鱼像
풍족한 자원섬	丰足的资源岛
프랜시스 노아	罗罗诺亚
함선 강화하기	强化舰船
함선 보유 수	拥有舰船数量
함선강화 정보	强化舰船信息
해적의 마스크	海盗面具
행운의 인도자	幸运使者
허름한 방어구	简陋 防具
현명한 분석가	明智的分析家
호루스의 앙크	荷鲁斯的十字章
화약 사용하기	使用火药
황금 모래시계	黄金沙漏
회복의 메이스	恢复战棍
회복의 목걸이	恢复项链
회수도구 준비	回收工具准备
효율적인 협공	有效的协攻
희귀 가시포탄	稀有的刺炮弹
희귀 가죽조끼	稀有的皮质坎肩
희귀 갑옷안감	稀有的盔甲内衬
희귀 낚싯바늘	稀有的鱼钩
희귀 대포수레	稀有的大炮车
희귀 대포심지	稀有的大炮引线
희귀 성문모형	稀有的城门模型
희귀 손질기름	稀有的修理油
희귀 승리의북	稀有的胜利之鼓
희귀 약재사발	稀有的药杵
희귀 연장가방	稀有的工具包
희귀 용조각상	稀有的龙型雕像
희귀 월계수잎	稀有的月桂叶
희귀 자원상자	稀有的资源箱
희귀 지혈장비	稀有的止血棉布
희귀 진격깃발	稀有的进攻旗帜
희귀 철제포문	稀有的铁质炮门
희귀 축성용삽	稀有的筑城用铁锹
희귀 충각모형	稀有的衡角模型
희귀 포대레일	稀有的炮台轨道
희귀 풀무페달	稀有的风箱踏板
희귀 플라스크	稀有的烧瓶
희귀 함선모형	稀有的舰船模型
희귀 함정도안	稀有的陷阱图
희귀 행운의잎	稀有的幸运叶
희귀 화약수저	稀有的火药匙
희귀 황금구슬	稀有的黄金弹珠
완벽 재현!!	完美再现！
领主对战 내구도	领主对战耐久度
고급 항해속도	高级航速
수송함 내구도	运输舰耐久度
자원 채집속도	资源采集速度
장갑함 내구도	装甲舰耐久度
중급 항해속도	中级航速
초급 항해속도	初级航速
포격함 내구도	炮击舰耐久度
Comment	注释
좌상단 초상화	领主外形
시스템	系统
철광석 200	200铁
이벤트 기간:	活动时间：
(완료) {0}	（完成）{0}
[{0}] 발동	发动[{0}]
[{0}]{1}	[{0}]{1}
{0} {1}개	{0}{1}个
{0} {1}명	{1}名{0}
{0} 후 시작	{0}后开始
{0} 후 종료	{0}后结束
{0}{1} 전	{0}{1}前
{0}님과 대화	与{0}对话
+목재 810K	增加810千木材
+식량 840K	增加840千粮食
<함선스킨옵션>	<舰船皮肤属性>
124문 전열함	124门战列舰
Lv.13 패키지	13级礼包
Lv.17 패키지	17级礼包
1급 출정서	1级出战御旨
1급 황금 폭죽	1级黄金爆竹
1회 구매 가능	可购买1次
Lv.20 패키지	20级礼包
25레벨 패키지	25级礼包
2700분 가속	加速2700分钟
2급 출정서	2级出战御旨
2급 황금 폭죽	2级黄金爆竹
3급 출정서	3级出战御旨
3급 황금 폭죽	3级黄金爆竹
4급 황금 폭죽	4级黄金爆竹
5급 황금 폭죽	5级黄金爆竹
Français	Français
Hrvatski	Hrvatski
Italiano	Italiano
RVIP{0}	皇家贵宾{0}
VIPLv.3	贵宾3级
VIP의 기준.	贵宾的象征
가속아이템 사용	使用加速道具
가속의 양손 검	加速双手剑
가입 조건 설정	设置注册条件
강습 사용 횟수	使用突袭次数
강인한 전투망치	强韧战锤
강화 최대 레벨	强化等级上限
강화 확률 증가	增加强化几率
개인정보보호약관	个人信息保护条款
개인정보처리방침	个人信息处理方针
거대 대륙 거북	巨型大陆乌龟
거래 가능 개수	可交易数量
거래 증서 획득	获得交易证书
건설 가속 5분	建设加速5分钟
건설 시간 감소	缩短建设时间
건설 인부 2일	建筑工人2天
건설 인부 고용	雇佣建筑工人
건조 속도 증가	提高建造速度
건조 자원 감소	减少建造所需资源
검병 체력 증가	增加剑兵体力
검투사의 목걸이	角斗士项链
검투사의 쿠쿠리	角斗士刀鞘
검투사의 허리띠	角斗士腰带
겁 먹지 마라!	不要慌张!
게임 진행 가능	可进行游戏
경험의 서 소모	消耗经验之书
경험치 거래증서	经验值交易证书
계정 중복 연결	此账号已绑定
고급 가시 포탄	高级刺炮弹
고급 가죽 조끼	高级皮质坎肩
고급 간이 병원	高级战地医院
고급 감옥 개선	高级改善监狱
고급 갑옷 안감	高级盔甲内衬
고급 검병 체력	高级剑兵体力
고급 경험의 서	经验之书(高级)
고급 광맥 탐사	高级探查矿脉
고급 괴수 사냥	高级狩猎怪兽
고급 대포 수레	高级大炮车
고급 대포 심지	高级大炮引线
고급 도시 해도	高级城市航海图
고급 병사 체력	高级士兵体力
고급 부속주머니	高级附属袋
고급 비상 자원	高级应急资源
고급 비행 가속	高级飞行加速
고급 성문 모형	高级城门模型
고급 수확 도구	高级收获工具
고급 승리의 북	高级胜利之鼓
고급 식단 개선	高级改善伙食
고급 약재 사발	高级药杵
고급 연장 가방	高级工具包
고급 용 조각상	高级龙型雕像
고급 월계수 잎	高级月桂叶
고급 자원 상자	高级资源箱
고급 지혈 장비	高级止血棉布
고급 진격 깃발	高级进攻旗帜
